feature,mi_score
Avg Fwd Segment Size,0.8537133612718564
Max Packet Length,0.8516135210140741
Fwd Packet Length Mean,0.8485138108909369
Packet Length Mean,0.8480892668835887
Average Packet Size,0.8441288892116321
Fwd Packet Length Max,0.8417770614144087
Total Length of Fwd Packets,0.8401446038627685
Subflow Fwd Bytes,0.8340581123128732
Init_Win_bytes_forward,0.8154515018886856
Flow Bytes/s,0.7646185440046938
Fwd Packet Length Min,0.7552618219415583
Min Packet Length,0.7248440079056477
Flow Packets/s,0.657086743336446
Flow IAT Max,0.6482508496255337
Flow IAT Mean,0.6472988906124593
Fwd Packets/s,0.6448373322348093
Flow Duration,0.6344849520159805
Flow IAT Std,0.6052601687421224
act_data_pkt_fwd,0.5644998703121695
ACK Flag Count,0.5266252195961538
Packet Length Std,0.5154305981163518
Packet Length Variance,0.5020631657994401
Fwd IAT Total,0.46012620154586936
Fwd IAT Max,0.4558622664409162
Fwd IAT Mean,0.4539426451520996
Fwd Header Length,0.4326306624500609
Bwd Packets/s,0.42598471880659794
Fwd IAT Std,0.35555358901425804
Bwd Header Length,0.33716488248516585
Subflow Bwd Packets,0.32747937765810775
Total Backward Packets,0.32357340262705603
Fwd Packet Length Std,0.3228947377536442
Bwd IAT Mean,0.3224044822667189
Bwd IAT Total,0.32209829940686885
Bwd IAT Max,0.31836701845446247
Total Fwd Packets,0.2768350706891385
Subflow Fwd Packets,0.272750295144506
Bwd IAT Min,0.26474477422467135
Avg Bwd Segment Size,0.24967880904514428
Down/Up Ratio,0.2489327295097139
Subflow Bwd Bytes,0.24765648328243994
Bwd Packet Length Max,0.2353399550475399
Bwd Packet Length Mean,0.2338664067161198
Total Length of Bwd Packets,0.23206833156635942
min_seg_size_forward,0.22906514012911905
Init_Win_bytes_backward,0.21659118053002446
URG Flag Count,0.19934173854617443
Bwd Packet Length Min,0.15580795985078266
Fwd IAT Min,0.120376304141667
Flow IAT Min,0.11082166610950406
Bwd IAT Std,0.09932314329670722
Idle Mean,0.09112485163079809
Idle Max,0.0908336754205532
Active Mean,0.08976765723201297
Active Min,0.08026243074975525
CWE Flag Count,0.07991386421658442
Active Max,0.07301948592092189
RST Flag Count,0.07054554025944948
Idle Min,0.06723001262628014
Bwd Packet Length Std,0.06482312356771969
Fwd PSH Flags,0.05898363958697894
Idle Std,0.0524116517177573
Active Std,0.024952292156734446
SYN Flag Count,0.009904484528902913
