,count,mean,std,min,25%,50%,75%,max
Flow Duration,7647.0,5026577.76814437,20229100.80561267,0.0,1.0,120.0,107758.5,119575250.0
Total Fwd Packets,7647.0,4.28887145285733,10.06023503328881,1.0,2.0,2.0,4.0,606.0
Total Backward Packets,7647.0,1.8723682489865308,12.598289639171771,0.0,0.0,0.0,2.0,817.0
Total Length of Fwd Packets,7647.0,644.352295017654,1572.1095268757485,0.0,0.0,64.0,802.0,41470.0
Total Length of Bwd Packets,7647.0,852.4791421472473,18887.575617667502,0.0,0.0,0.0,0.0,1468048.0
Fwd Packet Length Max,7647.0,172.89812998561527,272.60126821282347,0.0,0.0,32.0,383.0,3547.0
Fwd Packet Length Min,7647.0,125.11272394403034,170.65221505372068,0.0,0.0,0.0,330.0,1472.0
Fwd Packet Length Mean,7647.0,138.08470536102388,177.88085619396782,0.0,0.0,29.0,349.5,1472.0
Fwd Packet Length Std,7647.0,18.6441374893573,77.36621103726057,0.0,0.0,0.0,21.68524844220144,1271.117236047792
Bwd Packet Length Max,7647.0,93.37177978292141,450.9963031444033,0.0,0.0,0.0,0.0,3548.0
Bwd Packet Length Min,7647.0,12.10736236432588,37.28220361927719,0.0,0.0,0.0,0.0,327.0
Bwd Packet Length Mean,7647.0,31.116385813420184,124.47544123626173,0.0,0.0,0.0,0.0,1796.9230769230774
Bwd Packet Length Std,7647.0,25.308890340897236,139.8329124818636,0.0,0.0,0.0,0.0,1398.6440417617184
Flow Bytes/s,7239.0,109031839.75325747,268272573.28050113,0.0,0.0,6275.536693830561,13719.344959508926,2944000000.0
Flow Packets/s,7239.0,720601.5684914154,938072.7872532011,0.0689643258231987,37.20099698671925,14851.485148514852,2000000.0,3000000.0
Flow IAT Mean,7647.0,353687.93106000294,1419492.4261550114,0.0,1.0,52.0,35595.16666666667,19333667.333333336
Flow IAT Std,7647.0,604941.6176885008,2247029.1059266888,0.0,0.0,57.15767664977295,59124.3895020675,33486892.38591721
Flow IAT Max,7647.0,1857433.0048384988,7439106.411461146,0.0,1.0,113.0,106999.5,93276272.0
Flow IAT Min,7647.0,8535.45887276056,216679.0583330171,0.0,1.0,1.0,1.0,10047942.0
Fwd IAT Total,7647.0,4944136.65738198,20228046.43254092,0.0,1.0,2.0,107105.0,119547307.0
Fwd IAT Mean,7647.0,430824.6340466735,1620435.1481147246,0.0,1.0,1.0,35441.666666666664,19333667.333333336
Fwd IAT Std,7647.0,670682.1865375759,2519195.912561458,0.0,0.0,0.0,58786.540079994826,33486892.38591721
Fwd IAT Max,7647.0,1815660.4039492612,7439214.371218331,0.0,1.0,1.0,106581.0,93276272.0
Fwd IAT Min,7647.0,8188.671243624951,216699.7267521099,0.0,1.0,1.0,1.0,10047942.0
Bwd IAT Total,7647.0,1610284.944161109,10287175.215907251,0.0,0.0,0.0,1.0,119547254.0
Bwd IAT Mean,7647.0,190006.8851268848,1199564.8365835533,0.0,0.0,0.0,1.0,29463695.0
Bwd IAT Std,7647.0,358507.7281745072,2243135.1762783374,0.0,0.0,0.0,0.0,51032615.8526877
Bwd IAT Max,7647.0,909530.8382372172,5826450.054589055,0.0,0.0,0.0,1.0,88391084.0
Bwd IAT Min,7647.0,0.8484372956715052,4.714270314888819,0.0,0.0,0.0,1.0,78.0
Fwd PSH Flags,7647.0,0.0506080816006277,0.21921037293898477,0.0,0.0,0.0,0.0,1.0
Fwd Header Length,7647.0,-43498139.684451416,428346323.75833046,-12752627612.0,40.0,40.0,64.0,12192.0
Bwd Header Length,7647.0,-5002950.341833399,103004407.2795257,-2125437950.0,0.0,0.0,40.0,16364.0
Fwd Packets/s,7647.0,680930.640951193,927768.4942116581,0.0,30.14197999468226,122.96908864534176,2000000.0,3000000.0
Bwd Packets/s,7647.0,1223.766569318913,7529.5529896555145,0.0,0.0,0.0,1.2078759506780634,500000.0
Min Packet Length,7647.0,125.02680789852229,170.70453381063965,0.0,0.0,0.0,330.0,1472.0
Max Packet Length,7647.0,234.0512619327841,480.534003560341,0.0,0.0,46.0,383.0,3548.0
Packet Length Mean,7647.0,146.4308185403306,181.2274695248579,0.0,0.0,33.8,345.6,1557.3333333333328
Packet Length Std,7647.0,33.05957559922568,121.95908092244454,0.0,0.0,0.0,21.36117974270148,1308.6537331955285
Packet Length Variance,7647.0,15965.00787946976,99729.12408921482,0.0,0.0,0.0,456.3,1712574.5934065932
